MetaItr,TestItr,AverageReturnLastTest,0AverageReturn,0NumTrajs,0StdReturn,0MaxReturn,0MinReturn,stage0_task0last_goal_dist,stage0_task1last_goal_dist,stage0_task2last_goal_dist,1AverageReturn,1NumTrajs,1StdReturn,1MaxReturn,1MinReturn,stage1_task0last_goal_dist,stage1_task1last_goal_dist,stage1_task2last_goal_dist,ILLoss,Time,ItrTime
0,1,401.08964295778003,377.69725335019393,30,22.068858817762237,415.7135690168976,336.40253613511544,2.0410118040214322,2.0768928063590217,2.026583380794876,401.08964295778003,30,33.37435763390374,429.51593645833736,354.23461627108026,2.1657810429976427,1.7275964672792052,1.8071006863781416,nan,10.214457035064697,10.195237398147583
0,0,401.08964295778003,383.7094315780129,30,21.74858869830032,439.00422400355427,343.84575621006735,1.9985504683710942,2.051637845506766,1.9894513589990575,549.4342530646903,60,29.81410899954589,619.6496334479974,482.34609485501346,nan,nan,nan,0.2497495,42.221526861190796,32.004478931427
1,1,490.50149464094096,406.4289868002379,30,19.80200395770829,459.4449795652133,374.51237475726987,1.646948617229874,1.8062520788611205,1.7764317682783493,490.50149464094096,30,38.33043112711971,543.8451702394774,440.61828763237844,0.6142682752195867,1.091543568043059,0.9265540124948062,nan,51.39226937294006,9.165021181106567
1,0,490.50149464094096,403.65205868323807,30,27.18615583199147,471.2229878894419,364.70216332019055,1.789626033299914,1.808441152268078,1.6946332214736963,549.4342530646903,60,29.81410899954589,619.6496334479974,482.34609485501346,nan,nan,nan,0.28703508,82.4149911403656,31.01838517189026
2,1,470.12769696763803,423.55392475986247,30,23.714053967490166,465.4440674905704,369.7632694347904,1.6564141586167218,1.6810242468708565,1.6956848077071984,470.12769696763803,30,11.152822780200404,489.10169215498615,454.4256917710595,1.301975866304941,1.5612751413859194,1.6179600083468393,nan,92.07388734817505,9.64997124671936
2,0,470.12769696763803,431.16026194128455,30,25.46055058808091,471.47011071767196,374.43415588732154,1.6351745986094517,1.6816649763312441,1.5525786191971689,549.4342530646903,60,29.81410899954589,619.6496334479974,482.34609485501346,nan,nan,nan,0.24670297,123.29771518707275,31.218833208084106
3,1,565.7442210608099,452.9337536756415,30,28.656815907398173,510.46927346966004,397.79008050185075,1.320047449512232,1.4786069092333969,1.377319412180984,565.7442210608099,30,42.51932864699249,613.9505677351245,509.2161365811918,0.7063734031077561,0.2699457893476759,0.47739559209599547,nan,132.3554379940033,9.05309009552002
3,0,565.7442210608099,454.5498516498632,30,26.084279881309527,504.19643937477935,399.8514461236352,1.4857922840269322,1.3076930657120784,1.3929862102041937,549.4342530646903,60,29.81410899954589,619.6496334479974,482.34609485501346,nan,nan,nan,0.23459624,163.21904182434082,30.85514783859253
4,1,553.0925719386739,439.0034061359174,30,25.917094749231662,489.580306444851,382.357031897403,1.4534952817647,1.561767479648585,1.4853812825278143,553.0925719386739,30,22.896535996420024,586.5412205394613,528.4689252508318,0.755648666587531,0.6320936692583181,0.7958162707302795,nan,172.00355315208435,8.779843091964722
4,0,553.0925719386739,451.04605734183036,30,23.823601177184997,503.2800325026674,401.79725751354636,1.3497654507664478,1.4364368621581047,1.4849977414526048,549.4342530646903,60,29.81410899954589,619.6496334479974,482.34609485501346,nan,nan,nan,0.22571974,202.67879056930542,30.67057704925537
5,1,532.0105837974281,457.952656154402,30,29.88178392130038,537.319162687086,402.32682620781435,1.2904753170016146,1.3055076290938703,1.4482530088385246,532.0105837974281,30,16.549492777001294,555.5727166843417,510.22313268369567,1.0427682442616741,0.630625523298385,0.7373496665649171,nan,211.51572275161743,8.831127882003784
5,0,532.0105837974281,457.6790493759065,30,23.33697028488632,519.7608102404631,428.2285204571627,1.3313193710743034,1.466323986423609,1.3619158476011068,549.4342530646903,60,29.81410899954589,619.6496334479974,482.34609485501346,nan,nan,nan,0.21743768,242.3846242427826,30.864726543426514
6,1,546.6503430083635,458.2176396674969,30,33.20052586112412,512.0534786423557,376.29746690795,1.32737851495196,1.4018646239731178,1.0889156488720402,546.6503430083635,30,27.41462361476982,575.3414226616902,508.3656851276717,0.9559624854918853,0.36204926768870305,0.7414056002873283,nan,251.54329681396484,9.150213956832886
6,0,546.6503430083635,445.1438148583289,30,28.517620045975296,515.1175099841525,386.5782569764391,1.3983324668666808,1.4779658978209302,1.3890929543919992,549.4342530646903,60,29.81410899954589,619.6496334479974,482.34609485501346,nan,nan,nan,0.20967512,282.5164530277252,30.968080759048462
7,1,554.9057777195568,441.338989964026,30,29.659345219349714,500.020686174809,381.4054549640513,1.5391693055340387,1.445157131834406,1.4854080788012227,554.9057777195568,30,19.352607798016596,576.084302848603,526.94600054754,0.38061682587593487,0.923209459983801,0.40313569997463433,nan,291.5858874320984,9.061625003814697
7,0,554.9057777195568,435.4406734367975,30,24.6382516205248,501.86545761832497,378.48152927647374,1.6590368913124902,1.4495628674053447,1.5422557643729102,549.4342530646903,60,29.81410899954589,619.6496334479974,482.34609485501346,nan,nan,nan,0.20229566,322.60728335380554,31.006603956222534
8,1,533.7281203835412,458.47869987552605,30,34.54858645916918,513.2274201634741,379.04953660621993,1.3317413745766569,1.4999916733512741,1.2256917115420392,533.7281203835412,30,24.023581255498367,567.9148863705194,505.72122943518707,0.5475032050471226,0.5514286163667115,0.7065103559990746,nan,331.4178068637848,8.805675029754639
